2016/09/15 14:17:01,INFO  - ,=== This application works at 64 bits  ===
2016/09/15 14:17:01,INFO  - ,=== START-UP!  ===
2016/09/15 14:17:01,INFO  - ,=== USB-Key OK!  ===
2016/09/15 14:17:01,INFO  - ,=== USER LEVEL : Operator ===
2016/09/15 15:06:57,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,100,0,0,False,False,False,False,,,
2016/09/15 15:06:57,INFO  - ,JUDGE,first program,7,NG,0,7,0,3,0.67,,
2016/09/15 15:07:17,INFO  - ,MEASURE,first program,1,,55.81,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,94,0,0,False,False,False,False,,,
2016/09/15 15:07:17,INFO  - ,MEASURE,first program,2,,0.00,47.27,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,94,0,0,False,False,False,False,,,
2016/09/15 15:07:17,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,94,0,0,False,False,False,False,,,
2016/09/15 15:07:17,INFO  - ,JUDGE,first program,8,NG,0,8,0,3,0.65,,
2016/09/15 15:08:49,INFO  - ,MEASURE,first program,1,,55.85,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,93,0,0,False,False,False,False,,,
2016/09/15 15:08:49,INFO  - ,MEASURE,first program,2,,0.00,47.30,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,93,0,0,False,False,False,False,,,
2016/09/15 15:08:49,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,93,0,0,False,False,False,False,,,
2016/09/15 15:08:49,INFO  - ,JUDGE,first program,9,NG,0,9,0,3,0.89,,
